Brand,Channel,MerchantId,MerchantName,MerchantUrl,Priority,Synonym,Staging (Mostly),Setup
Skintific,Shopee,380266264,SKINTIFIC Official Store,https://shopee.co.id/shop/380266264,2,skintific,"Beauty, PersonalCare",2025-03-24
Skintific,Shopee,380266264,SKINTIFIC Official Store,https://shopee.co.id/shop/380266264,2,skintific,"Beauty, PersonalCare",2025-03-24
Skmei,Tokopedia,15463135,SKMEI Authorized Store,https://www.tokopedia.com/skmeismartwatch,2,skmei,"Audio, Computer, Electronics, Smartphone",2025-01-01
Skmei,Shopee,520275456,SKMEI Authorized Store Jakarta,https://shopee.co.id/skmeismartwatch,2,skmei,"Audio, Computer, Electronics, Smartphone",2025-01-01
Skmei,Tiktok,7494745449952676066,SKMEI Smart.ID,aweme://user/profile/7494745449952676066,2,skmei,"Audio, Computer, Electronics, Smartphone",2025-01-01
Skmei,Lazada,401526704769,SKMEI SmartWatch,https://www.lazada.co.id/shop/profileVm?sellerId=401526704769&shopId=6683191&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,skmei,"Audio, Computer, Electronics, Smartphone",2025-01-01
One Home,Shopee,985800286,SMART ONE HOME,https://shopee.co.id/smart_one_home,2,one home,"Audio, Computer, Electronics, Smartphone",2025-01-01
One Home,Tokopedia,15601921,SMART ONE HOME,https://www.tokopedia.com/smartonehome,2,one home,"Audio, Computer, Electronics, Smartphone",2025-01-01
Smeg,Tokopedia,14536775,SMEG Indonesia,https://www.tokopedia.com/smeg-indonesia,2,smeg,"Audio, Computer, Electronics, Smartphone",2025-01-01
Sniper,Tiktok,7493995202353595854,SNIPER INDONESIA,aweme://user/profile/7493995202353595854,2,sniper,"Audio, Computer, Electronics, Smartphone",2025-01-01
Some By Mi,Tokopedia,13023746,SOME BY MI Indonesia Official,https://www.tokopedia.com/somebymi-id-official,2,some by mi,"Beauty, PersonalCare",2025-03-24
Some By Mi,Tokopedia,13023746,SOME BY MI Indonesia Official,https://www.tokopedia.com/somebymi-id-official,2,some by mi,"Beauty, PersonalCare",2025-03-24
Some By Mi,Tiktok,7495500107169171632,SOME BY MI SHOP,aweme://user/profile/7495500107169171632,2,some by mi,"Beauty, PersonalCare",2025-03-24
Some By Mi,Tiktok,7495500107169171632,SOME BY MI SHOP,aweme://user/profile/7495500107169171632,2,some by mi,"Beauty, PersonalCare",2025-03-24
Somethinc,Lazada,400596483241,SOMETHINC OFFICIAL,https://www.lazada.co.id/shop/profileVm?sellerId=400596483241&shopId=2096992&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,somethinc,"Beauty, PersonalCare",2025-03-24
Somethinc,Lazada,400596483241,SOMETHINC OFFICIAL,https://www.lazada.co.id/shop/profileVm?sellerId=400596483241&shopId=2096992&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,somethinc,"Beauty, PersonalCare",2025-03-24
Somethinc,Tokopedia,5852874,SOMETHINC Official,https://www.tokopedia.com/somethinc,2,somethinc,"Beauty, PersonalCare",2025-03-24
Somethinc,Tokopedia,5852874,SOMETHINC Official,https://www.tokopedia.com/somethinc,2,somethinc,"Beauty, PersonalCare",2025-03-24
Somethinc,Shopee,195455930,SOMETHINC Official Shop,https://shopee.co.id/shop/195455930,2,somethinc,"Beauty, PersonalCare",2025-03-24
Somethinc,Shopee,195455930,SOMETHINC Official Shop,https://shopee.co.id/shop/195455930,2,somethinc,"Beauty, PersonalCare",2025-03-24
Sony,Lazada,400601520200,SONY Audio,https://www.lazada.co.id/shop/profileVm?sellerId=400601520200&shopId=2390063&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,sony,"Audio, Computer, Electronics, Smartphone",2025-01-01
Sopami,Shopee,1257542745,SOPAMI Official Store,https://shopee.co.id/shop/1257542745,2,sopami,"Beauty, PersonalCare",2025-03-24
Soul,Tokopedia,2346784,SOUL Electronics Official,https://www.tokopedia.com/soulelectronics,2,soul,"Audio, Computer, Electronics, Smartphone",2025-01-01
Soul,Bukalapak,117803015,SOUL Electronics Official,https://www.bukalapak.com/u/soulelectronicsofficial,2,soul,"Audio, Computer, Electronics, Smartphone",2025-01-01
Soul,Shopee,105114540,SOUL Electronics Official,https://shopee.co.id/soulelectronicsofficial,2,soul,"Audio, Computer, Electronics, Smartphone",2025-01-01
Soundpeats,Tokopedia,8658461,SOUNDPEATS OFFICIAL,https://www.tokopedia.com/soundpeats-offic,2,soundpeats,"Audio, Computer, Electronics, Smartphone",2025-01-01
Soundplus,Tokopedia,3433754,SOUNDPLUS OFFICIAL STORE,https://www.tokopedia.com/soundplus,2,soundplus,"Audio, Computer, Electronics, Smartphone",2025-01-01
Soundtech,Tiktok,7494581813204912690,SOUNDTECH,aweme://user/profile/7494581813204912690,2,soundtech,"Audio, Computer, Electronics, Smartphone",2025-01-01
